Variety,Group,Status,Country,Culm.diameter...1st.internode,culm.strength,flag.leaf.angle,grain.length,grain.width,leaf.length,leaf.senescence,Grain.weight,Salt.injury.at.EC12,Time.to.flowering..from.sowing,panicle.threshability
IRIS 313-10000,IND,I,South_Korea,1,1,1,8.2,3.1,2,1,2.6,1,4.430816799,1
IRIS 313-10010,IND,T,Fiji,2,2,5,8,3.1,3,2,2.2,1,4.912654886,2
IRIS 313-10020,AUS,T,Sri_Lanka,1,2,3,7.9,2.7,3,2,2,2,4.59511985,1
IRIS 313-10026,IND,NA,Madagascar,1,1,3,8.3,2.7,3,2,2.1,2,4.553876892,2
IRIS 313-10059,JAP,NA,South_Korea,1,1,3,7.5,3.3,2,1,2.7,1,4.290459441,1
IRIS 313-10078,JAP,T,Japan,1,1,3,9.1,3.8,2,1,3.3,2,4.356708827,1
IRIS 313-10097,JAP,T,South_Korea,1,1,5,7.1,3.5,2,1,1.8,2,4.110873864,2
IRIS 313-10109,IND,T,Nigeria,2,1,1,10.2,3.1,3,2,3.2,1,4.762173935,1
IRIS 313-10114,IND,I,Burundi,2,1,3,8.5,2.7,3,2,2.7,2,4.430816799,2
IRIS 313-10134,IND,NA,Thailand,2,2,3,9.8,2.8,3,1,2.7,1,4.941642423,2
IRIS 313-10158,IND,NA,Ecuador,1,1,5,10.2,2.8,4,2,2.6,2,4.882801923,2
IRIS 313-10171,IND,NA,China,1,1,1,8.9,3.1,2,2,2.9,1,4.521788577,1
IRIS 313-10177,IND,NA,China,2,2,5,7.6,3.1,4,2,2,1,4.59511985,1
IRIS 313-10179,IND,NA,China,1,1,5,8.4,2.8,3,2,2.3,1,4.418840608,1
IRIS 313-10189,IND,NA,China,1,1,3,7.4,3,3,2,2.2,2,4.521788577,2
IRIS 313-10221,IND,NA,China,2,1,3,7.7,2.8,2,2,2.1,1,4.276666119,1
IRIS 313-10228,JAP,NA,China,2,1,5,6.6,3.1,4,2,1.9,2,4.406719247,1
IRIS 313-10235,IND,I,Philippines,2,1,1,10.1,2.7,3,2,3.2,1,4.644390899,2
IRIS 313-10237,IND,I,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10260,IND,NA,Paraguay,NA,2,5,9,2.4,NA,2,2.1,2,4.605170186,1
IRIS 313-10301,IND,I,Brazil,NA,2,5,10,2.4,NA,2,2.1,1,4.406719247,1
IRIS 313-10327,JAP,NA,Peru,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
IRIS 313-10332,IND,I,Indonesia,NA,2,3,8.5,2.6,NA,2,2.4,2,4.672828834,1
IRIS 313-10333,IND,I,Indonesia,NA,2,3,7.7,2.8,NA,2,2.4,2,4.430816799,1
IRIS 313-10337,IND,I,Indonesia,NA,2,7,8.4,2.9,NA,2,2.7,2,4.553876892,1
IRIS 313-10352,IND,I,Colombia,NA,2,3,9.1,2.5,NA,2,2.9,1,4.430816799,1
IRIS 313-10392,IND,I,Philippines,NA,2,1,9.2,2.3,NA,2,2.2,2,4.736198448,1
IRIS 313-10394,IND,I,Philippines,NA,2,7,8.7,2.9,NA,2,2.1,1,4.543294782,1
IRIS 313-10397,IND,I,Colombia,NA,2,3,10,2.2,NA,2,2.2,1,4.343805422,1
IRIS 313-10423,IND,NA,Myanmar,NA,2,7,8.6,2.9,NA,2,3.4,2,4.465908119,1
IRIS 313-10440,JAP,NA,Philippines,NA,2,7,7.2,3.4,NA,2,2.4,1,4.521788577,1
IRIS 313-10458,IND,P,China,2,2,5,7.8,3.2,3,2,2,1,4.248495242,1
IRIS 313-10469,JAP,I,Japan,1,1,5,7.5,3.6,2,1,2.8,1,4.317488114,1
IRIS 313-10477,IND,NA,China,2,1,1,8.4,3,3,2,2.3,1,4.382026635,1
IRIS 313-10503,IND,NA,China,2,1,3,8.8,3,3,2,2.1,2,4.382026635,1
IRIS 313-10509,IND,NA,Africa,2,1,1,8.1,2.6,4,2,1.4,2,4.8978398,1
