"X","Variety","Centre","SNPsubsp","K9.group","country","region","readepth","Filtered.insertions","Culm.diameter...1st.internode","culm.strength","flag.leaf.angle","grain.length","grain.width","leaf.length","leaf.senescence","Grain.weight","Salt.injury.at.EC12","Time.to.flowering..from.sowing","panicle.threshability"
1,"IRIS 313-10000","IRIS","IND","XI-1B","South_Korea","EAS",15.1,21824,1,1,1,8.2,3.1,2,1,2.6,1,4.43081679884331,1
2,"IRIS 313-10010","IRIS","IND","XI-2","Fiji","OCE",27.39,20360,2,2,5,8,3.1,3,2,2.2,1,4.91265488573605,2
3,"IRIS 313-10020","IRIS","AUS","cA","Sri_Lanka","SAS",21.98,20239,1,2,3,7.9,2.7,3,2,2,2,4.59511985013459,1
4,"IRIS 313-10026","IRIS","IND","XI-2","Madagascar","AFR",18.55,21742,1,1,3,8.3,2.7,3,2,2.1,2,4.55387689160054,2
5,"IRIS 313-10059","IRIS","JAP","GJ-tmp","South_Korea","EAS",15.83,22561,1,1,3,7.5,3.3,2,1,2.7,1,4.29045944114839,1
6,"IRIS 313-10078","IRIS","JAP","GJ-trp","Japan","EAS",15.98,21357,1,1,3,9.1,3.8,2,1,3.3,2,4.35670882668959,1
7,"IRIS 313-10097","IRIS","JAP","GJ-tmp","South_Korea","EAS",25.5,22053,1,1,5,7.1,3.5,2,1,1.8,2,4.11087386417331,2
8,"IRIS 313-10109","IRIS","IND","XI-3","Nigeria","AFR",17.58,19530,2,1,1,10.2,3.1,3,2,3.2,1,4.76217393479776,1
9,"IRIS 313-10114","IRIS","IND","XI-2","Burundi","AFR",31.95,20013,2,1,3,8.5,2.7,3,2,2.7,2,4.43081679884331,2
10,"IRIS 313-10134","IRIS","IND","XI-3","Thailand","SEA",20.23,19154,2,2,3,9.8,2.8,3,1,2.7,1,4.9416424226093,2
11,"IRIS 313-10158","IRIS","IND","XI-adm","Ecuador","AME",16.67,20450,1,1,5,10.2,2.8,4,2,2.6,2,4.88280192258637,2
12,"IRIS 313-10171","IRIS","IND","XI-1A","China","EAS",29.75,20077,1,1,1,8.9,3.1,2,2,2.9,1,4.52178857704904,1
13,"IRIS 313-10177","IRIS","IND","XI-adm","China","EAS",38.67,19644,2,2,5,7.6,3.1,4,2,2,1,4.59511985013459,1
14,"IRIS 313-10179","IRIS","IND","XI-adm","China","EAS",16.47,19226,1,1,5,8.4,2.8,3,2,2.3,1,4.4188406077966,1
15,"IRIS 313-10189","IRIS","IND","XI-1A","China","EAS",18.82,20412,1,1,3,7.4,3,3,2,2.2,2,4.52178857704904,2
16,"IRIS 313-10221","IRIS","IND","XI-adm","China","EAS",15.29,20002,2,1,3,7.7,2.8,2,2,2.1,1,4.27666611901606,1
17,"IRIS 313-10228","IRIS","JAP","GJ-tmp","China","EAS",15.03,21672,2,1,5,6.6,3.1,4,2,1.9,2,4.40671924726425,1
18,"IRIS 313-10235","IRIS","IND","XI-adm","Philippines","SEA",26.83,19469,2,1,1,10.1,2.7,3,2,3.2,1,4.64439089914137,2
19,"IRIS 313-10237","IRIS","IND","XI-1B","Philippines","SEA",17.56,20379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"IRIS 313-10260","IRIS","IND","XI-adm","Paraguay","AME",15.47,20669,NA,2,5,9,2.4,NA,2,2.1,2,4.60517018598809,1
21,"IRIS 313-10301","IRIS","IND","XI-adm","Brazil","AME",20.07,20364,NA,2,5,10,2.4,NA,2,2.1,1,4.40671924726425,1
22,"IRIS 313-10327","IRIS","JAP","GJ-trp","Peru","AME",15.21,22745,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
23,"IRIS 313-10332","IRIS","IND","XI-adm","Indonesia","SEA",15.5,20628,NA,2,3,8.5,2.6,NA,2,2.4,2,4.67282883446191,1
24,"IRIS 313-10333","IRIS","IND","XI-1B","Indonesia","SEA",22.32,19343,NA,2,3,7.7,2.8,NA,2,2.4,2,4.43081679884331,1
25,"IRIS 313-10337","IRIS","IND","XI-adm","Indonesia","SEA",24.67,19201,NA,2,7,8.4,2.9,NA,2,2.7,2,4.55387689160054,1
26,"IRIS 313-10352","IRIS","IND","XI-adm","Colombia","AME",19.13,19761,NA,2,3,9.1,2.5,NA,2,2.9,1,4.43081679884331,1
27,"IRIS 313-10392","IRIS","IND","XI-1B","Philippines","SEA",17.83,19140,NA,2,1,9.2,2.3,NA,2,2.2,2,4.7361984483945,1
28,"IRIS 313-10394","IRIS","IND","XI-adm","Philippines","SEA",16.38,19408,NA,2,7,8.7,2.9,NA,2,2.1,1,4.54329478227,1
29,"IRIS 313-10397","IRIS","IND","XI-1B","Colombia","AME",20.28,18510,NA,2,3,10,2.2,NA,2,2.2,1,4.34380542185368,1
30,"IRIS 313-10423","IRIS","IND","XI-adm","Myanmar","SEA",15.66,19459,NA,2,7,8.6,2.9,NA,2,3.4,2,4.46590811865458,1
31,"IRIS 313-10440","IRIS","JAP","GJ-tmp","Philippines","SEA",17.41,19146,NA,2,7,7.2,3.4,NA,2,2.4,1,4.52178857704904,1
32,"IRIS 313-10458","IRIS","IND","XI-1A","China","EAS",18.16,18079,2,2,5,7.8,3.2,3,2,2,1,4.24849524204936,1
33,"IRIS 313-10469","IRIS","JAP","GJ-tmp","Japan","EAS",16.09,19893,1,1,5,7.5,3.6,2,1,2.8,1,4.31748811353631,1
34,"IRIS 313-10477","IRIS","IND","XI-adm","China","EAS",16.04,14678,2,1,1,8.4,3,3,2,2.3,1,4.38202663467388,1
35,"IRIS 313-10503","IRIS","IND","XI-1A","China","EAS",20.38,17789,2,1,3,8.8,3,3,2,2.1,2,4.38202663467388,1
36,"IRIS 313-10509","IRIS","IND","XI-3","Africa","AFR",16.44,19480,2,1,1,8.1,2.6,4,2,1.4,2,4.89783979995091,1
37,"IRIS 313-10511","IRIS","IND","XI-3","Philippines","SEA",25.73,19804,NA,2,5,9.2,2.6,NA,2,2.7,1,4.84418708645859,1
38,"IRIS 313-10515","IRIS","IND","XI-1A","Taiwan","EAS",15.95,19545,2,2,1,7.4,3.1,3,2,2.2,1,4.46590811865458,1
